time,DK,Midtjylland,Nordjylland,Sjælland,Syddanmark,Hovedstaden_West,Hovedstaden_East
2013-07-26 15:00:00,4430.770118995557,1006.7549942541393,451.52976360679975,639.9719413899467,935.6067215876616,1366.468668049729,30.438030107280426
2013-07-26 16:00:00,4410.049280950941,1002.0468269093442,449.41814985732776,636.9790632684236,931.2312846250535,1360.0782719778788,30.295684312912496
2013-07-26 17:00:00,4397.094047777515,999.1031522548735,448.0979113400576,635.1078342264086,928.4956420818244,1356.0828220350193,30.206685839331346
2013-07-26 18:00:00,4373.452128658704,993.7312598958968,445.6886168237021,631.6930407547763,923.5033861433002,1348.7915519260332,30.04427311499543
2013-07-26 19:00:00,4323.58427648374,982.4003382092501,440.6066967738204,624.4902237924299,912.9732307903943,1333.4120906337664,29.701696284078487
2013-07-26 20:00:00,4101.054411376624,931.8373328962873,417.9291814234985,592.3484367068637,865.9835581247738,1264.7829177794679,28.17298444573221
2013-07-26 21:00:00,3818.780777685487,867.6994104059104,389.16331371427844,551.5773742267675,806.3783197766668,1177.7285082984079,26.233851263455986
2013-07-26 22:00:00,3262.056883759706,741.2011842335601,332.42884059393714,471.16524232979106,688.819835983448,1006.0324515468382,22.40932907213164
2013-07-26 23:00:00,3073.07524547968,698.2609722498527,313.1701491775677,443.86909680903483,648.9142470490523,947.7496969441451,21.111083250027328
2013-07-27 00:00:00,2882.4522258737848,654.9478073024585,293.7441883019047,416.3358733163987,608.6620620692901,888.9607332414795,19.801561642253127
2013-07-27 01:00:00,2833.1103189928326,643.7363903604117,288.7158661476252,409.209022883986,598.2429659541802,873.7434757526316,19.46259789399766
2013-07-27 02:00:00,2805.5117541163454,637.4654730531629,285.90335880919616,405.2227390847294,592.4152199616916,865.2319589792436,19.273004228321618
2013-07-27 03:00:00,2807.416610424745,637.8982925293069,286.0974784081682,405.4978728779563,592.8174516997267,865.8194249033739,19.286090006213037
2013-07-27 04:00:00,2814.925521842984,639.6044595992964,286.86269459103585,406.58244564724833,594.4030424223398,868.1352056612595,19.337673921804004
2013-07-27 05:00:00,2961.8317877697887,672.984349085092,301.83357995516417,427.80130505149975,625.4239453699342,913.4417334516627,20.34687485643564
2013-07-27 06:00:00,3190.0307604371487,724.8354831422591,325.0888212375005,460.76192716435014,673.6107135734226,983.819283596777,21.914531722839303
2013-07-27 07:00:00,3469.2177934988126,788.2720714366534,353.5401404562449,501.08716696710405,732.5641816382079,1069.9217720939714,23.832460906630875
2013-07-27 08:00:00,3817.522929532472,867.4136034522542,389.0351292533539,551.3956930510712,806.1127110551373,1177.340582487748,26.225210232907433
2013-07-27 09:00:00,3846.969335635344,874.1043853278037,392.035945912674,555.6488754944168,812.3306494127004,1186.4219814873793,26.427498000369766
2013-07-27 10:00:00,3847.834357408304,874.300934678521,392.1240983254983,555.7738175808979,812.5133084456372,1186.6887579434322,26.433440434317294
2013-07-27 11:00:00,3851.9030239879135,875.2254128818508,392.5387269362244,556.3614879812777,813.3724529504404,1187.9435523138154,26.461390924304506
2013-07-27 12:00:00,3855.6356281017233,876.0735313200071,392.91910818099285,556.9006181633907,814.1606341027269,1189.0947035662552,26.48703276835045
2013-07-27 13:00:00,3848.2970084262456,874.4060577633121,392.1712460445524,555.8406420069427,812.6110023883402,1186.8314415183593,26.436618704738702
